timestamp,bite_time,rod_x1,rod_x2,rod_y1,rod_y2,fish_x1,fish_x2,fish_y1,fish_y2,fish_label,success
1721712726,0,520.1603,550.9247,282.79828,289.02057,628.475,649.58093,275.2154,296.64075,0,2
1721712746,0,520.1029,550.7252,281.7166,288.14532,510.01907,531.1284,281.47656,304.73438,0,1
1721712761,7.37,522.41003,551.93396,273.49078,280.14014,593.27,607.1599,282.71698,304.66254,3,0
1721712782,6.803,520.21844,550.4327,280.62848,286.89575,570.9616,583.231,275.72748,293.81622,3,0
1721712835,0,520.1666,550.76,282.85266,289.00476,388.46356,398.77667,333.28946,356.75687,3,2
1721712861,0,517.00336,553.3499,205.88327,215.65268,563.9835,587.9612,247.11621,275.47266,3,2
1721713616,0,520.1322,551.08167,282.95627,289.18594,509.0717,525.0299,299.85455,324.57684,3,1
1721713628,4.254,519.88196,551.172,276.06726,283.01428,432.21674,459.89502,285.74335,311.67035,0,0
1721713654,0,519.69385,551.01294,273.04443,279.7981,453.67667,475.5403,307.57324,332.41022,3,2
1721713696,0,520.27783,550.1753,282.74307,289.04544,548.5788,560.07745,291.7845,314.16144,3,1
1721713718,0,523.3094,553.02606,292.515,298.27417,506.90778,515.3272,297.17633,317.1336,3,1
1721713733,7.331,520.98157,553.05286,259.58734,266.46698,645.2976,662.17944,281.8097,307.42297,3,0
1721713794,0,520.18994,550.76685,285.79053,292.20886,408.8004,543.9546,309.03613,348.9579,2,2
1721713818,0,518.4881,552.86273,231.57751,240.2276,535.6927,563.0241,264.6599,337.68787,2,2
1721713841,0,519.67175,550.8408,277.8565,284.58746,858.9854,876.1274,254.73611,287.2393,2,2
1721713855,4.909,519.7273,550.9209,278.4704,285.17975,597.79456,622.1903,282.60007,331.92722,2,0
1721714035,7.354,507.51926,545.2554,333.06006,354.4167,383.6693,519.7992,353.0208,387.3875,2,0
1721714050,3.417,502.97247,546.5705,315.9041,345.3161,514.80896,526.0416,259.67407,287.54736,0,0
1721714111,0,516.48334,550.8482,368.3208,384.66772,486.93283,576.85596,292.3958,339.42804,5,2
1721714168,3.782,511.5733,547.7962,339.23636,359.2333,520.4277,542.43854,312.43427,332.5556,0,0
1721714217,7.296,513.745,548.11145,354.58972,372.1217,496.40323,600.54895,309.79367,356.34195,5,0
1721714239,4.412,501.70657,546.1987,316.43057,347.1685,377.18982,410.54663,304.62445,350.3637,4,0
1721714324,0,515.67377,552.1171,286.33832,302.0561,503.3849,530.6665,246.46344,277.73566,4,2
1721714348,0,516.2805,549.74,310.51288,323.3178,372.72302,511.85327,334.0509,368.65698,2,2
1721714394,0,520.58374,550.90393,354.54794,364.15506,542.5646,560.2523,324.91,343.53458,0,2
1721714416,0,519.12,549.97546,346.07114,356.4285,483.87506,512.852,299.49353,328.99854,4,2
1721714442,0,513.9563,552.4763,264.9297,282.27362,507.50476,531.8458,218.26495,266.7108,2,2
1721714455,4.701,514.1882,549.8842,291.12982,305.52655,571.83655,599.3561,335.1932,364.91653,0,0
1721714470,4.417,514.08984,549.4634,291.15756,305.53983,436.23193,485.55957,305.0404,346.36963,4,0
1721714497,0,520.9048,552.07715,347.96658,358.40457,493.05756,550.62396,300.40607,325.41046,2,2
1721714520,0,520.6294,552.0415,338.6494,349.44177,403.1739,489.21222,315.19257,358.7586,2,2
1721714536,7.377,520.5021,552.20325,337.2403,348.06482,546.9695,613.99,336.8406,390.70163,2,0
1721714685,0,518.79236,549.98376,338.3136,348.42334,561.32056,652.9181,290.96954,311.6247,2,2
1721714700,6.681,519.432,552.536,317.93207,328.69415,452.06445,476.6632,314.45618,338.5371,0,0
1721714722,7.335,518.0819,550.07666,330.128,340.62006,623.0773,639.56067,358.10156,381.72034,3,0
1721714796,0,519.4124,550.20197,349.8504,359.7558,562.75684,613.05786,283.89154,312.11725,2,2
1721714812,8.056,519.1186,550.02435,345.76395,355.5132,592.98804,623.3391,298.75055,335.89374,2,0
1721714839,0,522.24133,552.0321,362.0094,370.81158,550.41406,558.1084,315.78375,332.13477,0,2
1721714861,0,515.0126,549.78796,294.27576,307.20386,527.90234,536.50464,227.42648,245.61044,0,2
1721714881,0,520.1666,550.06067,357.46155,366.71936,583.7304,593.8647,324.15912,342.80652,0,2
1721714901,0,519.0801,549.9155,346.42346,356.15613,514.505,520.2833,295.97882,312.495,0,2
1721714921,0,520.11646,550.2097,358.0199,367.72656,561.40576,579.6808,304.3526,320.2527,0,2
1721714942,0,519.8619,551.11127,336.4511,346.70428,510.90143,527.8453,283.65057,300.18866,0,2
1721714964,0,518.1697,551.7471,304.3403,316.66623,534.1319,546.5147,260.23035,282.2472,0,2
1721714975,3.772,519.2234,550.1045,342.27325,352.27045,481.26477,492.16174,334.42795,357.44913,0,0
1721715143,4.552,513.4794,547.9342,352.5506,370.45044,481.9007,508.1745,313.1831,333.0144,0,0
1721715170,0,504.33435,546.6648,318.57806,346.32025,496.8753,587.20123,170.8602,209.35812,2,2
1721715182,4.019,503.27863,545.8609,316.95746,346.02106,422.2152,489.07947,275.87872,377.26373,2,0
1721715395,0,516.907,549.8596,363.1197,378.20422,553.04663,567.2837,327.81586,346.2995,0,2
